title,ISBN,J_similarity,sim_words
白羊座 : 裙摆是花开的地方,9787538589665,0.11428571428571428,"['孩子', '同学', '妈妈', '奶奶']"
听见颜色的女孩,9787544826174,0.11428571428571428,"['男孩', '孩子', '同学', '奶奶']"
摩羯座 : 寄给青春一座城,9787538594560,0.08333333333333333,"['心愿', '孩子', '同学']"
查理和大玻璃升降机,9787533259600,0.08333333333333333,"['孩子', '妈妈', '奶奶']"
回眸一笑 . 下,9787550027992,0.08333333333333333,"['孩子', '同学', '奶奶']"
唐家小仙妹,9787559702531,0.08108108108108109,"['孩子', '儿童文学', '奶奶']"
亨利·休格的神奇故事,9787533278847,0.08108108108108109,"['神奇', '儿童文学', '故事']"
幸福的鸭子,9787533253295,0.08108108108108109,"['孩子', '儿童文学', '奶奶']"
好小子 : 童年故事,9787533259587,0.08108108108108109,"['奶奶', '孩子', '故事']"
了不起的狐狸爸爸,9787533259563,0.08108108108108109,"['孩子', '食物', '奶奶']"
